Timestamp,Gender,Degree,BusinessMarket,ProgrammingLanguages,BusinessSize,Title,Level,Yoe,YoeBuckets,TotalCompensationEgp,WorkSetting,BusinessFocus,BusinessLine,TotalCompensationEgpBuckets,Industries,IsEgp,CompanyLocation
4/2/2024 11:10:37,Male,Yes,,"PHP, JavaScript, TypeScript, HTML/CSS",A Small and Medium Enterprise,Backend Engineer,Mid-level,5,3-5,"42,437.50",Hybrid,Outsourcing Company,B2B & B2C lines,40-50K,"Fintech, Technology",Another currency (e.g USD),Cairo
4/2/2024 11:12:13,Male,Yes,,"TypeScript, HTML/CSS",A Small and Medium Enterprise,Frontend Engineer,Mid-level,2.5,1-3,"20,000.00",Hybrid,Product-based company,B2B,20-25K,Human Resources Services,EGP,Cairo
4/2/2024 11:15:17,Female,Yes,Global,,A Small and Medium Enterprise,UI/UX Designer/Engineer,Mid-level,2.5,1-3,"42,000.00",Remote/Egypt,Product-based company,B2B,40-50K,Technology,EGP,Cairo
4/2/2024 11:18:12,Male,Yes,,"PHP, JavaScript",A Large Enterprise/Multinational Company,Backend Engineer,Junior,1,0-1,"16,000.00",Hybrid,Product-based company,B2B,15-20K,Lead Gathering,EGP,Alexandria
4/2/2024 11:19:20,Male,Yes,,"JavaScript, TypeScript",A Start-up,Backend Engineer,Senior,2,1-3,"101,850.00",Hybrid,Product-based company,B2B & B2C lines,100-120K,"Automotive, Transportation",Another currency (e.g USD),No site in Egypt
4/2/2024 11:19:33,Male,Yes,,Python,A Start-up,Backend Engineer,Mid-level,2.5,1-3,"16,000.00",Hybrid,Product-based company,B2C,15-20K,"Fintech, Technology",EGP,Cairo
4/2/2024 11:19:56,Male,Yes,Local,"Java, Python, C/C++, R, SQL",A Start-up,Data Analytics,Mid-level,3,1-3,"30,000.00",Hybrid,Product-based company,B2C,30-35K,Fintech,EGP,Cairo
4/2/2024 11:20:35,Male,No,,JavaScript,A Start-up,Frontend Engineer,Senior,3,1-3,"25,500.00",Hybrid,Product-based company,B2B,25-30K,Fintech,EGP,Cairo
4/2/2024 11:21:56,Male,Yes,,"C#, JavaScript",A Small and Medium Enterprise,Backend Engineer,Junior,2,1-3,"12,500.00",Office,Product-based company,B2B,10-15K,Facility management,EGP,Cairo
4/2/2024 11:22:22,Male,No,Global,Java,A Large Enterprise/Multinational Company,Backend Engineer,Junior,0,0-1,"24,000.00",Hybrid,Product-based company,B2C,20-25K,"Telecommunications, Education",EGP,Cairo
